"File Path: C:\Users\Lab User\Desktop\Will\Thesis Tests\Test Run 3 04-8-22 16 07 51 PM\DAQ- Crosshead, … - (Timed).csv   ",,,
Test: MTS EM Tension (Extensometer) - Will 1,,,
Test Run: Test Run 3,,,
Date: 4/8/2022 4:06:06 PM,,,
,,,
,,,
Crosshead ,Load ,Time ,Extensometer 
mm,N,sec,mm
-0.004638672,-13.41079807,2.75999999,9.10E-05
-0.0046875,-13.46914196,2.779999971,9.01E-05
-0.0046875,-13.60318851,2.799999952,9.68E-05
-0.004736328,-13.80331421,2.819999933,0.000108542
-0.004785156,-13.72679329,2.839999914,0.00010278
-0.004833984,-13.81030083,2.859999895,9.16E-05
-0.004833984,-13.96235657,2.880000114,0.000100184
-0.004882812,-14.07970238,2.900000095,0.000108272
-0.00493164,-14.25377369,2.920000076,0.000105915
-0.00493164,-14.22109318,2.940000057,9.83E-05
-0.004980469,-14.33291626,2.960000038,9.77E-05
-0.005029297,-14.40973663,2.980000019,9.72E-05
-0.005029297,-14.6285677,3,0.000103911
-0.005078125,-14.75358105,3.019999981,0.000102609
-0.005126953,-14.74432659,3.039999962,9.89E-05
-0.005126953,-14.79968834,3.059999943,9.78E-05
-0.005175781,-14.91376877,3.079999924,0.000102509
-0.00522461,-15.15406895,3.099999905,0.000112415
-0.00522461,-15.20350838,3.119999886,0.000104381
-0.005273438,-15.30002975,3.140000105,0.000113127
-0.005322266,-15.24004459,3.160000086,0.000105849
-0.005322266,-15.35140038,3.180000067,0.000111007
-0.005371094,-15.55642223,3.200000048,0.000118138
-0.005419922,-15.657444,3.220000029,0.000115198
-0.005419922,-15.6382122,3.24000001,0.000112499
-0.00546875,-15.79443741,3.25999999,0.00011013
-0.005517578,-15.82779694,3.279999971,0.000109196
-0.005517578,-16.01802063,3.299999952,0.000111043
-0.005566406,-16.17870712,3.319999933,0.000119268
-0.005615234,-16.18122482,3.339999914,0.000111882
-0.005615234,-16.13521194,3.359999895,0.000115285
-0.005664062,-16.29844666,3.380000114,0.00011056
-0.00571289,-16.46630478,3.400000095,0.000123108
-0.00571289,-16.63134384,3.420000076,0.00011924
-0.005761719,-16.66308594,3.440000057,0.000118451
-0.005810547,-16.67643929,3.460000038,0.000111038
-0.005810547,-16.77344894,3.480000019,0.000118154
-0.005859375,-16.99160767,3.5,0.000123471
-0.005908203,-17.09204292,3.519999981,0.000110691
-0.005908203,-17.07582283,3.539999962,0.000123161
-0.005957031,-17.19548607,3.559999943,0.000116722
-0.006005859,-17.2301712,3.579999924,0.000114027
-0.006005859,-17.39481544,3.599999905,0.000127249
-0.006054688,-17.53191185,3.619999886,0.00012026
-0.006103516,-17.60961723,3.640000105,0.000124034
-0.006103516,-17.70568848,3.660000086,0.000114463
-0.006152344,-17.70914459,3.680000067,0.000125492
-0.006201172,-17.88362694,3.700000048,0.000119665
-0.006201172,-18.12783241,3.720000029,0.000124402
-0.00625,-18.07475281,3.74000001,0.000124256
-0.00625,-18.07173347,3.75999999,0.00012259
-0.006298828,-18.19083595,3.779999971,0.000125532
-0.006347656,-18.31321907,3.799999952,0.000127058
-0.006347656,-18.54206467,3.819999933,0.000128302
-0.006396484,-18.63665962,3.839999914,0.000124062
-0.006445312,-18.58572388,3.859999895,0.000128267
-0.006445312,-18.72405815,3.880000114,0.00012564
-0.006494141,-18.87720299,3.900000095,0.000131392
-0.006542969,-18.948349,3.920000076,0.000131837
-0.006542969,-19.06430435,3.940000057,0.000138363
-0.006591797,-19.07637215,3.960000038,0.000135252
-0.006640625,-19.17961121,3.980000019,0.000138396
-0.006640625,-19.26810646,4,0.000135401
-0.006689453,-19.35238647,4.019999981,0.000139255
-0.006738281,-19.55166435,4.039999962,0.00014516
-0.006738281,-19.59000587,4.059999943,0.000130547
-0.006787109,-19.59459305,4.079999924,0.000139691
-0.006835938,-19.80331421,4.099999905,0.000128753
-0.006835938,-19.90182686,4.119999886,0.000140006
-0.006884766,-20.0578289,4.139999866,0.000136523
-0.006884766,-20.01555252,4.159999847,0.000132186
-0.006933594,-20.07789421,4.179999828,0.00012672
-0.006982422,-20.25039482,4.199999809,0.000133329
-0.006982422,-20.43142319,4.21999979,0.000152677
-0.00703125,-20.50443077,4.239999771,0.000133805
-0.007080078,-20.4629612,4.260000229,0.000141994
-0.007080078,-20.5547142,4.28000021,0.000130062
-0.007128906,-20.82644463,4.300000191,0.000142091
-0.007177734,-20.82023048,4.320000172,0.00014979
-0.007177734,-20.99953842,4.340000153,0.000148644
-0.007226563,-21.05098724,4.360000134,0.000144274
-0.007275391,-21.00971031,4.380000114,0.000143989
-0.007275391,-21.24286652,4.400000095,0.000146354
-0.007324219,-21.38640594,4.420000076,0.0001531
-0.007373047,-21.41900635,4.440000057,0.000156055
-0.007373047,-21.51013756,4.460000038,0.000150061
-0.007421875,-21.50702667,4.480000019,0.000152895
-0.007470703,-21.62598801,4.5,0.000143013
-0.007470703,-21.87231064,4.519999981,0.000152299
-0.007519531,-21.94275475,4.539999962,0.000156
-0.007568359,-22.03988266,4.559999943,0.000147544
-0.007568359,-21.94550323,4.579999924,0.000158753
-0.007617187,-22.07808304,4.599999905,0.000159756
-0.007666015,-22.32843208,4.619999886,0.000158804
-0.007666015,-22.48105049,4.639999866,0.000150065
-0.007714843,-22.48644829,4.659999847,0.000156875
-0.007763672,-22.41601944,4.679999828,0.000158885
-0.007763672,-22.60158157,4.699999809,0.000166213
-0.0078125,-22.79446983,4.71999979,0.000162387
-0.007861328,-22.86621284,4.739999771,0.000161311
-0.007861328,-23.11522484,4.760000229,0.000158945
-0.007910156,-22.91608047,4.78000021,0.000157183
-0.007958984,-23.1217556,4.800000191,0.000170887
-0.007958984,-23.2468853,4.820000172,0.000160387
-0.008007813,-23.46368408,4.840000153,0.000179278
-0.008056641,-23.40052986,4.860000134,0.00016286
-0.008056641,-23.59311485,4.880000114,0.000158694
-0.008105469,-23.69265938,4.900000095,0.000158368
